文章標題;作者;IP;國家
Re: [新聞] 獨／陳菊生氣了！　痛心賴清德扭曲3／17;robeant;61.230.204.136;Taiwan
[臉書] 財哥專業檳榔攤;Friend5566;110.50.131.184;Taiwan
[問卦] 是不是每個人都有創業夢？;febula;218.166.45.228;Taiwan
Re: [臉書] 柯文哲 - 20190604;lozupomelo;59.127.204.35;Taiwan
[問卦] 為什麼spotify要自己正名為音樂人人愛?;tetsuya0310;39.10.200.181;Taiwan
[問卦] 大家有買過用紙包的芒果乾嗎？;trylin;123.110.188.211;Taiwan
[問卦] 張順偉的靈壓...消失了?;vvvccc1d;61.231.44.194;Taiwan
[問卦] 國台辦關於六四的新聞是真的嗎;joey00;1.175.73.174;Taiwan
[新聞] 「應讓年輕人發揮」林嘉誠退出柯文哲國政;popobiv;223.137.55.99;Taiwan
[問卦] 要賴484很沒意義阿;kenjohn;118.150.228.136;Taiwan
Re: [問卦] 大學畢業前幾天要做什麼？;ben780413;150.116.252.144;Taiwan
[公告] 版規更新情報;XXXXGAY;118.165.116.55;Taiwan
[問卦] 大學畢業前幾天要做什麼？;z842657913;101.9.117.72;Taiwan
Re: [新聞] 柯文哲：兩岸問題不回答就是最好回答;KoujikiOuji;150.116.197.79;Taiwan
Re: [問卦] 遏止帶職(及未盡任期義務)參選歪風  公投;popy8789;223.136.33.39;Taiwan
[問卦] 張藝謀怎麼沒被懷念？;username1;39.9.234.111;Taiwan
[問卦] 魚缸不養魚還能幹嗎;t3825288;36.226.191.46;Taiwan
Re: [新聞] 親綠民調顯示 黃國昌將落選！;poplc;119.77.155.184;Taiwan
[問卦] 買套餐送麥香雞 的優惠券 有吸引力嗎?;iXXXXGAY5566;123.194.139.202;Taiwan
[新聞] 陸媒：勿把國台辦的事 搞到國防部;TSMConduty;123.192.105.168;Taiwan
Re: [問卦] 如果你是楊過還能接受小龍女嗎？;Qkirito;180.217.189.179;Taiwan
Re: [新聞] 集結500名空姐上街遊行 長榮員工爭取過勞;k44754;49.214.161.95;Taiwan
[新聞] 回顧民主史 黃偉哲曾被鎮暴警察重重踩過;helikon;114.137.91.252;Taiwan
Re: [問卦] 慟！端午連假要上班該如何釋懷;words2012;118.167.187.66;Taiwan
[問卦] 人生勝利組的女生只愛人生勝利組的男生;pttloser5566;157.230.244.131;Singapore
[問卦] 邰哥會怎拍一日遊戲開發商白金工作室員工;twmadrid;118.171.90.81;Taiwan
[問卦] 有人還記得夢遊先生嗎;a170212;27.52.62.32;Taiwan
[新聞] 抗憂鬱藥竟可能「逆轉」癌症及避免產生;Marcin;119.14.67.66;Taiwan
[新聞] 拆共產寺還百年古廟 魏明谷明開直播邀;MAGPUL;114.137.38.250;Taiwan
[新聞] 六四30周年 中共藉手機嚴控維權人士;a78615;223.136.107.114;Taiwan
[問卦] 兒子圍棋被電該如何安慰他？;simpleplanya;42.74.83.166;Taiwan
[爆卦] 賴清德後援會管理員反同;xingting;223.138.29.198;Taiwan
[問卦] 台式民主自由比不上結實的大米飯;o02852six;1.163.176.12;Taiwan
[問卦] 有沒有台灣出版社的八卦;motan;223.141.169.129;Taiwan
Re: [問卦] 橋本 奈々未和我不再聯繫...;ben780413;150.116.252.144;Taiwan
[新聞] 新長征開始 陸對抗老美貿易戰狠招不手軟;GenghisKhan;123.194.159.185;Taiwan
Re: [臉書] 柯文哲;bloodydevil;42.77.175.75;Taiwan
[問卦] 妳對我如此冷漠 我還是無法停止喜歡妳;TomRiddle;61.216.122.103;Taiwan
[問卦] 何謂人生勝利組;ohfulow;117.19.149.120;Taiwan
[問卦] 網球的觀眾為啥不能吵球員?;Ayanami5566;180.218.243.186;Taiwan
[問卦] 賭俠 阿珍怎不見了？;QchchQ;36.238.74.184;Taiwan
[臉書] 柯文哲;bulecate;61.230.71.183;Taiwan
[問卦] 國台辦失言來源;max0903;114.25.30.50;Taiwan
Re: [新聞] 女國中生遭BB彈掃射…情緒潰堤痛哭！爸淚;zzxx5566;36.237.190.90;Taiwan
Re: [新聞] 柯文哲：若一國兩制比照香港 台上講台下;curmathew;160.231.0.227;United States
[問卦] 做出冤獄判決的陪審團會想什麼啊？;f17690815;110.26.40.138;Taiwan
[問卦] 吃完辣的胃充滿灼熱感;lycs0908;101.8.240.84;Taiwan
[問卦] 傳過簡訊一封70字的人都幾歲了?;maple0425;123.241.244.197;Taiwan
[問卦] 不覺得紅酒 很難喝嗎    ;Luismth;110.26.32.37;Taiwan
